Feature,Perturbation_%,Sample_Index,Original_Feature_Value,Perturbed_Feature_Value,Baseline_Prediction,Perturbed_Prediction,Actual_Value,Impact_on_Prediction_%,Baseline_Error_%,Perturbed_Error_%,Error_Change_%
Cover_Thickness_mm,10.0,33,50.0,55.00000000000001,0.2790020036464555,0.2928786084188659,0.313001,4.973657748348833,10.862264450766764,6.428858559919632,-4.433405890847132
Cover_Thickness_mm,10.0,34,30.0,33.0,0.37232587549993273,0.36491625365410435,0.3460009999999999,-1.9900904915295698,7.608323530837439,5.4668205161558685,-2.141503014681571
Reinforcement_Diameter_mm,-10.0,0,14.0,12.6,0.5435466844844884,0.5345328651013161,0.4820009999999999,-1.6583339831648785,12.768787717139283,10.898704588022898,-1.8700831291163844
Reinforcement_Diameter_mm,-10.0,1,14.0,12.6,0.2431976931074724,0.24169722111687564,0.228001,-0.6169762432465572,6.665187041930694,6.007088178067477,-0.6580988638632173
Reinforcement_Diameter_mm,-10.0,2,20.0,18.0,0.34481258947472704,0.32555095764472686,0.225001,-5.586116173815619,53.24935865828464,44.68867144800549,-8.560687210279148
Reinforcement_Diameter_mm,-10.0,3,20.0,18.0,0.11182121349170218,0.093075953137072,0.124001,-16.763599472135223,9.822329262100965,24.939352797903247,15.117023535802282
Reinforcement_Diameter_mm,-10.0,4,20.0,18.0,0.11182121349170218,0.093075953137072,0.043001,-16.763599472135223,160.04328618334966,116.45067123339456,-43.592614949955106
Reinforcement_Diameter_mm,-10.0,5,20.0,18.0,0.11182121349170218,0.093075953137072,0.047001,-16.763599472135223,137.91241354801426,98.02972944633517,-39.88268410167909
Reinforcement_Diameter_mm,-10.0,6,16.0,14.4,0.15796835139928075,0.1602946519361728,0.129001,1.4726370923578722,22.45513709140297,24.258456861708655,1.8033197703056842
Reinforcement_Diameter_mm,-10.0,7,16.0,14.4,0.08911383572510151,0.10911854458199796,0.064001,22.4484881546419,39.238192723709794,70.49506192402924,31.25686920031945
Reinforcement_Diameter_mm,-10.0,8,20.0,18.0,0.11182121349170218,0.093075953137072,0.230001,-16.763599472135223,51.382292471901344,59.53237023444593,8.150077762544583
Reinforcement_Diameter_mm,-10.0,9,20.0,18.0,0.380202359391613,0.34735078102412154,0.4750009999999999,-8.640550895070579,19.95756653320454,26.873673734556007,6.9161072013514655
Reinforcement_Diameter_mm,-10.0,10,20.0,18.0,0.321926346274652,0.28218976432296944,0.4300009999999999,-12.34337680389204,25.133581951053124,34.374626030411676,9.241044079358552
Reinforcement_Diameter_mm,-10.0,11,20.0,18.0,0.31947808965114904,0.27883904795478404,0.3480009999999999,-12.720447195843823,8.196215053649517,19.874067041536055,11.677851987886537
Reinforcement_Diameter_mm,-10.0,12,16.0,14.4,0.26356669606396976,0.2625137708118001,0.254001,-0.39949100849756186,3.7660072456288702,3.3514713768056543,-0.4145358688232159
Reinforcement_Diameter_mm,-10.0,13,20.0,18.0,0.3134904289744377,0.2801508880890127,0.3080009999999999,-10.63494697254172,1.782276347946199,9.042214769103753,7.259938421157553
Reinforcement_Diameter_mm,-10.0,14,16.0,14.4,0.055136223558347255,0.07034441495224346,0.052001,27.582939875819235,6.029160128357641,35.27511961739862,29.24595948904098
Reinforcement_Diameter_mm,-10.0,15,16.0,14.4,0.13555278738176288,0.13283064531032382,0.137001,-2.0081786026078383,1.0570817864374218,3.044032298797959,1.986950512360537
Reinforcement_Diameter_mm,-10.0,16,20.0,18.0,0.380202359391613,0.34735078102412154,0.3600009999999999,-8.640550895070579,5.611473132467163,3.513939954577452,-2.097533177889711
